                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4359,                 7.6951,                 4.0717,                      0,                      0,                      0,                      0,                 5.4332,                 5.4503,                 3.6984,                 0.0712,                 0.0032,                 0.0032
                      2,                 4.6416,                  5.474,                 3.4285,                      0,                      0,                      0,                      0,                 4.8223,                 4.6706,                 3.3306,               0.041436,              0.0064357,              0.0064357
                      3,                 4.0912,                 4.6616,                 2.9773,                0.00097,                0.04398,                  0.001,                0.00031,                 4.1435,                 3.9761,                 2.7604,               0.011606,               0.009606,               0.009606
                      4,                 3.0306,                 3.5243,                 2.4087,                0.23675,                0.14987,                0.05638,                0.01689,                 2.7554,                 14.637,                  2.406,               0.009703,               0.009703,               0.009703
                      5,                 2.5139,                 2.8062,                 2.0614,                0.40943,                0.15153,                0.12465,                0.04524,                 2.4725,                 3.2033,                 1.9255,               0.009703,               0.009703,               0.009703
                      6,                 2.2328,                 2.3428,                 1.8495,                0.33147,                0.26447,                0.22987,                 0.0971,                 2.1324,                  4.291,                 1.7131,               0.009604,               0.009604,               0.009604
                      7,                 2.0385,                 2.0958,                 1.7216,                0.58873,                0.33892,                0.30815,                0.13887,                 1.9268,                 2.1603,                 1.5547,               0.009505,               0.009505,               0.009505
                      8,                 1.9188,                 1.8959,                 1.6467,                0.57009,                0.22848,                0.23554,                0.11395,                 1.9422,                 2.6509,                 1.5663,               0.009406,               0.009406,               0.009406
                      9,                 1.8144,                 1.7593,                  1.581,                0.42255,                0.45432,                0.40409,                0.20212,                 1.7049,                 1.5501,                 1.4585,               0.009307,               0.009307,               0.009307
                     10,                 1.7268,                 1.6335,                 1.5308,                0.41963,                 0.5097,                0.48932,                0.27556,                 1.5174,                 1.7587,                  1.342,               0.009208,               0.009208,               0.009208
                     11,                 1.6598,                 1.5398,                 1.4915,                0.70985,                0.40774,                0.49947,                 0.2647,                 1.5798,                 1.5838,                 1.3523,               0.009109,               0.009109,               0.009109
                     12,                 1.6129,                  1.449,                  1.469,                0.55517,                0.52449,                0.57126,                0.30755,                  1.455,                 1.3342,                 1.3002,                0.00901,                0.00901,                0.00901
                     13,                 1.5734,                 1.3871,                 1.4165,                0.55428,                0.54084,                0.57901,                0.32482,                 1.4535,                 1.2622,                 1.2714,               0.008911,               0.008911,               0.008911
                     14,                 1.5092,                 1.3412,                 1.3989,                0.58841,                0.60268,                0.63958,                0.36219,                 1.4259,                 1.2211,                 1.2808,               0.008812,               0.008812,               0.008812
                     15,                 1.4837,                 1.3023,                 1.3782,                 0.5601,                0.65359,                0.64244,                0.36211,                 1.4007,                 1.1916,                 1.2466,               0.008713,               0.008713,               0.008713
                     16,                 1.4514,                 1.2419,                 1.3698,                0.59386,                0.55636,                 0.6161,                0.35674,                  1.347,                 1.2147,                 1.2511,               0.008614,               0.008614,               0.008614
                     17,                 1.4242,                 1.1935,                 1.3535,                0.78877,                 0.5392,                0.64019,                0.37485,                 1.3339,                 1.1059,                 1.2311,               0.008515,               0.008515,               0.008515
                     18,                 1.4004,                 1.1544,                 1.3304,                0.62842,                0.65455,                  0.669,                0.37556,                 1.4502,                 1.1058,                 1.2681,               0.008416,               0.008416,               0.008416
                     19,                  1.359,                 1.1276,                 1.3115,                0.62848,                0.63343,                0.66706,                0.39058,                 1.3148,                 1.2372,                 1.2265,               0.008317,               0.008317,               0.008317
                     20,                 1.3539,                 1.1013,                 1.2983,                0.60624,                0.66327,                0.68465,                0.41209,                 1.2832,                 1.1063,                 1.2264,               0.008218,               0.008218,               0.008218
                     21,                 1.3148,                 1.0819,                 1.2819,                0.65655,                0.66341,                0.69191,                0.41778,                 1.3232,                 1.0582,                 1.2163,               0.008119,               0.008119,               0.008119
                     22,                 1.3245,                 1.0644,                 1.2729,                0.67382,                  0.654,                0.70082,                0.43271,                 1.2298,                 1.0185,                 1.1817,                0.00802,                0.00802,                0.00802
                     23,                 1.2992,                 1.0399,                  1.261,                0.66272,                0.71532,                0.72393,                0.45838,                 1.2005,                 1.0029,                 1.1536,               0.007921,               0.007921,               0.007921
                     24,                 1.2814,                 1.0056,                 1.2496,                0.73376,                0.70462,                 0.7723,                0.48047,                 1.2287,                0.93039,                  1.169,               0.007822,               0.007822,               0.007822
                     25,                 1.2488,                0.98216,                 1.2269,                0.68024,                0.71684,                 0.7581,                 0.4819,                 1.1975,                0.94647,                 1.1564,               0.007723,               0.007723,               0.007723
                     26,                 1.2696,                0.97106,                 1.2408,                0.71709,                 0.6724,                0.75435,                0.49024,                 1.1389,                0.92802,                 1.1425,               0.007624,               0.007624,               0.007624
                     27,                 1.2482,                0.96816,                 1.2333,                0.75729,                0.70668,                0.77013,                0.50485,                 1.1713,                0.88618,                 1.1342,               0.007525,               0.007525,               0.007525
                     28,                 1.2268,                0.94775,                 1.2148,                0.74676,                0.69802,                0.76717,                0.49307,                 1.1793,                0.90985,                 1.1351,               0.007426,               0.007426,               0.007426
                     29,                 1.2019,                0.91866,                 1.2012,                0.74363,                0.70027,                0.76755,                0.49902,                  1.188,                0.89277,                 1.1372,               0.007327,               0.007327,               0.007327
                     30,                 1.1953,                0.92485,                 1.1962,                0.80256,                0.73276,                0.80342,                0.54475,                 1.1358,                0.84298,                 1.1337,               0.007228,               0.007228,               0.007228
                     31,                 1.1974,                0.90732,                 1.1886,                0.79332,                0.74264,                0.79123,                0.51524,                 1.1409,                0.83961,                 1.1067,               0.007129,               0.007129,               0.007129
                     32,                 1.1795,                0.88906,                 1.1888,                0.81132,                0.71682,                 0.8123,                0.52785,                 1.1578,                0.85734,                 1.1446,                0.00703,                0.00703,                0.00703
                     33,                 1.1668,                0.87605,                 1.1764,                0.80381,                0.72546,                0.81419,                0.54013,                 1.1218,                0.85124,                 1.1011,               0.006931,               0.006931,               0.006931
                     34,                 1.1688,                0.87702,                  1.174,                0.85417,                0.70301,                0.81905,                0.55435,                 1.1198,                0.82186,                 1.1211,               0.006832,               0.006832,               0.006832
                     35,                 1.1456,                0.84666,                 1.1751,                0.79802,                0.75947,                0.81116,                0.54138,                 1.1357,                0.84464,                  1.102,               0.006733,               0.006733,               0.006733
                     36,                 1.1468,                0.85362,                 1.1655,                0.83718,                0.71361,                0.79195,                 0.5116,                 1.1321,                0.83067,                 1.1279,               0.006634,               0.006634,               0.006634
                     37,                 1.1203,                0.83642,                 1.1552,                0.84107,                0.76132,                0.84041,                0.55177,                 1.1035,                 0.8295,                 1.1089,               0.006535,               0.006535,               0.006535
                     38,                 1.1157,                0.82449,                 1.1513,                0.79216,                0.74915,                0.83081,                 0.5445,                 1.1405,                0.83228,                 1.1104,               0.006436,               0.006436,               0.006436
                     39,                  1.114,                0.79841,                 1.1487,                0.79148,                0.76218,                 0.8212,                0.55567,                 1.0985,                0.79754,                 1.1128,               0.006337,               0.006337,               0.006337
                     40,                 1.1197,                0.81154,                 1.1486,                 0.8244,                0.75278,                0.83066,                0.55675,                 1.1275,                0.79266,                 1.1279,               0.006238,               0.006238,               0.006238
                     41,                 1.0982,                0.79039,                  1.138,                0.80373,                0.77294,                0.83263,                0.56913,                 1.1018,                0.79635,                 1.0939,               0.006139,               0.006139,               0.006139
                     42,                 1.1088,                0.81316,                 1.1466,                0.78298,                0.75652,                0.82513,                0.55594,                  1.134,                 0.8101,                 1.0942,                0.00604,                0.00604,                0.00604
                     43,                  1.082,                0.78332,                 1.1241,                0.84935,                0.77678,                0.85664,                0.58719,                 1.0549,                0.74366,                 1.0676,               0.005941,               0.005941,               0.005941
